Class,Location,Day/Time
BIOE 20C - DIS 01F,PhysSciences 140,Th 05:20PM-06:25PM
BIOE 20C - DIS 01G,Oakes Acad 106,Th 09:50AM-10:55AM
BIOE 20C - DIS 01H,Steven Acad 151,F 08:00AM-09:05AM
BIOE 20C - DIS 01I,Earth&Marine B210,F 02:40PM-03:45PM
BIOE 20F - 01   Field Biology Practice,FLD: Thimann Lab 239,W 09:00AM-01:00PM
BIOE 20F - 02   Field Biology Practice,FLD: Thimann Lab 239,Th 09:50AM-11:25AM
BIOE 20F - 03   Field Biology Practice,FLD: Thimann Lab 239,Th 11:40AM-01:15PM
"BIOE 294 - 01   Ecol, Evol Bio Sem",SEM: CoastBio 110,F 09:30AM-10:30AM
BIOE 82 - 01   Intro Field Res/Con,FLD: Nat Sci 2 233,Tu 05:20PM-06:55PM
BIOE 82 - 02   Intro Field Res/Con,FLD: Nat Sci 2 233,Th 05:20PM-06:55PM
BIOL 100 - 01   Biochemistry,LEC: J Bask Aud 101,MWF 04:00PM-05:05PM
BIOL 100 - 01 DIS 01A,Earth&Marine B214,M 08:00AM-09:05AM
BIOL 100 - 01 DIS 01B,Cowell Acad 113,M 12:00PM-01:05PM
BIOL 100 - 01 DIS 01C,Cowell Acad 113,M 01:20PM-02:25PM
BIOL 100 - 01 DIS 01D,Cowell Com 134,W 06:40PM-07:45PM
BIOL 100 - 01 DIS 01E,Cowell Acad 113,W 07:10PM-08:15PM
BIOL 101L - 01   Molecular Bio Lab,LAB: Earth&Marine B206,M 02:40PM-03:45PM
BIOL 105 - 01   Genetics,LEC: ClassroomUnit 002,TuTh 11:40AM-01:15PM
BIOL 105 - 01 DIS 01A,Earth&Marine B210,M 09:20AM-10:25AM
BIOL 105 - 01 DIS 01B,Earth&Marine B214,Tu 06:40PM-07:45PM
BIOL 105 - 01 DIS 01C,Earth&Marine B214,W 05:20PM-06:25PM
BIOL 105 - 01 DIS 01D,Earth&Marine B214,Th 08:30AM-09:35AM
BIOL 105 - 01 DIS 01E,Earth&Marine B214,F 09:20AM-10:25AM
BIOL 105 - 01 DIS 01F,Earth&Marine B214,M 02:40PM-03:45PM
BIOL 105 - 01 DIS 01G,Engineer 2 194,F 09:20AM-10:25AM
BIOL 105 - 01 DIS 01H,PhysSciences 140,M 07:10PM-08:15PM
BIOL 105L - 01   Eukaryotc Genet Lab,LAB: Thimann Lab 203,TuTh 02:30PM-05:30PM
BIOL 110 - 01   Cell Biology,LEC: J Baskin Engr 152,TuTh 09:50AM-11:25AM
BIOL 110 - 01 DIS 01A,N. Sci Annex 102,W 08:00AM-09:05AM
BIOL 110 - 01 DIS 01B,Earth&Marine B214,Tu 05:20PM-06:25PM
BIOL 110 - 01 DIS 01C,PhysSciences 136,M 06:40PM-07:45PM
BIOL 111B - 01   Immunology II,LEC: PhysSciences 136,TuTh 05:20PM-06:55PM
BIOL 112 - 01   Principles of Virology,LEC: Engineer 2 192,MWF 09:20AM-10:25AM
BIOL 113 - 01   Prin of Epidemiology,LEC: PhysSciences 110,TuTh 09:50AM-11:25AM
BIOL 114 - 01   Cancer Cell Biology,LEC: Thim Lecture 001,TuTh 01:30PM-03:05PM
BIOL 115L - 01   Eukaryotc Molec Lab,LAB: Thimann Lab 215,MW 09:30AM-01:30PM
